variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
uay_vivienda,float64,5275,4119,0.7809,2,2.0 | 1.0,1.0,2.0
uay_tierras,float64,5275,4119,0.7809,1,2.0,2.0,2.0
uay_agropec,float64,5275,4119,0.7809,2,2.0 | 1.0,1.0,2.0
uay_noagropec,float64,5275,4119,0.7809,2,2.0 | 1.0,1.0,2.0
uay_ahorrar,float64,5275,4119,0.7809,2,2.0 | 1.0,1.0,2.0
uay_noinfo,float64,5275,5117,0.97,1,1.0,1.0,1.0
uay_otros,float64,5275,4119,0.7809,2,2.0 | 1.0,1.0,2.0
uay_otros_cual,object,5275,5257,0.9966,17,EVENTUALIDADES DEL HOGAR | ACTIVIDADES DE RECREACION | REGALOS DE NAVIDAD | ASEO | TERRAZA,,
eay_fam_colom,int64,5275,0,0.0,2,2 | 1,1.0,2.0
eay_fc_per,float64,5275,4572,0.8667,5,1.0 | 5.0 | 4.0 | 2.0 | 3.0,1.0,5.0
eay_fc_vr,float64,5275,4572,0.8667,87,100000.0 | 800000.0 | 300000.0 | 480000.0 | 720000.0,98.0,9000000.0
eay_fam_exte,int64,5275,0,0.0,2,2 | 1,1.0,2.0
eay_fe_per,float64,5275,5251,0.9955,4,1.0 | 5.0 | 4.0 | 3.0,1.0,5.0
eay_fe_vr,float64,5275,5251,0.9955,14,300000.0 | 400000.0 | 500000.0 | 2400000.0 | 100000.0,98.0,3600000.0
eay_alimentos,int64,5275,0,0.0,2,2 | 1,1.0,2.0
eay_alim_per,float64,5275,5086,0.9642,5,5.0 | 1.0 | 3.0 | 4.0 | 2.0,1.0,5.0
eay_alim_vr,float64,5275,5086,0.9642,62,800000.0 | 4800000.0 | 1200000.0 | 340000.0 | 200000.0,98.0,9600000.0
eay_otras,int64,5275,0,0.0,2,2 | 1,1.0,2.0
eay_otras_per,float64,5275,5206,0.9869,5,5.0 | 4.0 | 1.0 | 2.0 | 3.0,1.0,5.0
eay_otras_vr,float64,5275,5206,0.9869,32,50000.0 | 20000.0 | 3000000.0 | 35000.0 | 100000.0,98.0,3000000.0
tienen_deudas,int64,5275,0,0.0,2,1 | 2,1.0,2.0
tipo_deuda_1,float64,5275,2026,0.3841,3,1.0 | 2.0 | 3.0,1.0,3.0
aquien_deben_1,float64,5275,4625,0.8768,7,7.0 | 5.0 | 2.0 | 4.0 | 1.0,1.0,7.0
aquien_cual_1,object,5275,5111,0.9689,81,A FAMILIARES | VENDEDOR PUERTA APUERTA | FAMILIARES | AMIGOS | UN FAMILIAR,,
con_quien_1,float64,5275,2676,0.5073,12,6.0 | 3.0 | 1.0 | 8.0 | 2.0,1.0,13.0
conquien_cual_1,object,5275,5220,0.9896,41,SIN INFORMACION | PRESTAMO EN ELGAS PARA MATERIALES | VENDEDOR AMBULANTE | ALMACEN HONDA | VENDEDOR AMBULANTE-COBRADOR,,
destino1_1,float64,5275,2676,0.5073,14,12.0 | 13.0 | 14.0 | 9.0 | 1.0,1.0,14.0
destino2_1,float64,5275,2676,0.5073,13,0.0 | 13.0 | 3.0 | 11.0 | 5.0,0.0,14.0
destino3_1,float64,5275,2676,0.5073,5,0.0 | 12.0 | 13.0 | 3.0 | 5.0,0.0,13.0
destino4_1,float64,5275,2676,0.5073,2,0.0 | 5.0,0.0,5.0
fechai_mes_1,float64,5275,2676,0.5073,14,1.0 | 10.0 | 12.0 | 2.0 | 5.0,1.0,99.0
fechai_ano_1,float64,5275,2676,0.5073,28,2010.0 | 2009.0 | 2008.0 | 2007.0 | 2005.0,1985.0,9999.0
vr_inicial_1,float64,5275,2676,0.5073,280,2000000.0 | 309000.0 | 200000.0 | 3000000.0 | 1050000.0,98.0,152000000.0
tasa_interes_1,float64,5275,2676,0.5073,134,1.5 | 8.0 | 0.0 | 2.5 | 5.0,0.0,999.0
tasa_period_1,float64,5275,2679,0.5079,9,4.0 | 8.0 | 9.0 | 7.0 | 1.0,1.0,9.0
cuota_1,float64,5275,2676,0.5073,538,89350.0 | 55300.0 | 200000.0 | 250000.0 | 110000.0,97.0,15000000.0
period_cuota_1,float64,5275,2676,0.5073,13,4.0 | 10.0 | 7.0 | 1.0 | 2.0,1.0,99.0
meses_plazo_1,float64,5275,2026,0.3841,96,24.0 | 6.0 | 1.0 | 12.0 | 60.0,1.0,999.0
vr_saldo_1,float64,5275,2026,0.3841,580,2000000.0 | 110600.0 | 1000000.0 | 130000.0 | 200000.0,97.0,742000000.0
