variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
con_quien_2,float64,4578,4127,0.9015,9,5.0 | 1.0 | 3.0 | 6.0 | 7.0,1.0,13.0
conquien_cual_2,object,4578,4564,0.9969,13,PATRON | IGLESIA ADVENTISTA | VENDEDORES DE MERCANCIA PUERTA A PUERTA | VENDEDOR PUERTA A PUERTA | VENDEDOR DE MERCANCIA PUERTA A PUERTA,,
destino1_2,float64,4578,4127,0.9015,17,1.0 | 11.0 | 3.0 | 6.0 | 2.0,1.0,21.0
destino2_2,float64,4578,4551,0.9941,13,3.0 | 19.0 | 13.0 | 7.0 | 11.0,1.0,20.0
destino3_2,float64,4578,4574,0.9991,4,20.0 | 19.0 | 21.0 | 17.0,17.0,21.0
destino4_2,float64,4578,4578,1.0,0,,,
fechai_mes_2,float64,4578,4127,0.9015,12,12.0 | 5.0 | 2.0 | 7.0 | 11.0,1.0,12.0
fechai_ano_2,float64,4578,4127,0.9015,11,2008.0 | 2010.0 | 2009.0 | 2005.0 | 2007.0,1985.0,2010.0
vr_inicial_2,float64,4578,4127,0.9015,103,4500000.0 | 2500000.0 | 4000000.0 | 750000.0 | 100000.0,20000.0,65000000.0
tasa_interes_2,float64,4578,4127,0.9015,37,0.0 | 99.0 | 1.0 | 4.0 | 98.0,0.0,99.0
tasa_period_2,float64,4578,4127,0.9015,8,9.0 | 4.0 | 6.0 | 5.0 | 8.0,1.0,9.0
cuota_2,float64,4578,4127,0.9015,166,97.0 | 850000.0 | 110000.0 | 180000.0 | 44000.0,97.0,30000000.0
period_cuota_2,float64,4578,4127,0.9015,11,8.0 | 4.0 | 9.0 | 3.0 | 7.0,1.0,97.0
meses_plazo_2,float64,4578,3826,0.8357,50,48.0 | 2.0 | 23.0 | 10.0 | 6.0,1.0,999.0
vr_saldo_2,float64,4578,3826,0.8357,204,4500000.0 | 5000000.0 | 4000000.0 | 2400000.0 | 3760000.0,98.0,30000000.0
tipo_deuda_3,float64,4578,4357,0.9517,3,1.0 | 3.0 | 2.0,1.0,3.0
aquien_deben_3,float64,4578,4468,0.976,5,6.0 | 5.0 | 7.0 | 1.0 | 3.0,1.0,7.0
aquien_cual_3,object,4578,4535,0.9906,26,IMPUESTOS | AL CEMENTERIO | AMIGOS | VENDEDORES AMBULANTES | COSM???TICOS,,
con_quien_3,float64,4578,4467,0.9758,10,5.0 | 1.0 | 2.0 | 12.0 | 3.0,1.0,13.0
conquien_cual_3,object,4578,4570,0.9983,7,ANTERIOR DUE??????O  DE LA FINCA | VENDEDOR AMBULANTE PUERTA PUERTA | VENDEDOR MERCANCIA PUERTA A PUERTA | VENDEDORES DEMERCANCIA PUERTA A PUERTA | VENDEDOR DE MERCANCIA PUERTA PUERTA,,
destino1_3,float64,4578,4467,0.9758,16,1.0 | 6.0 | 11.0 | 17.0 | 2.0,1.0,21.0
destino2_3,float64,4578,4576,0.9996,2,2.0 | 21.0,2.0,21.0
destino3_3,float64,4578,4578,1.0,0,,,
destino4_3,float64,4578,4578,1.0,0,,,
fechai_mes_3,float64,4578,4467,0.9758,12,9.0 | 10.0 | 6.0 | 3.0 | 1.0,1.0,12.0
fechai_ano_3,float64,4578,4467,0.9758,9,2009.0 | 2010.0 | 2006.0 | 2008.0 | 2003.0,1999.0,2010.0
vr_inicial_3,float64,4578,4467,0.9758,52,4900000.0 | 10000000.0 | 7000000.0 | 4800000.0 | 2000000.0,12000.0,60000000.0
tasa_interes_3,float64,4578,4467,0.9758,19,0.0 | 2.3 | 98.0 | 6.0 | 1.0,0.0,99.0
tasa_period_3,float64,4578,4467,0.9758,5,9.0 | 6.0 | 8.0 | 4.0 | 7.0,4.0,9.0
cuota_3,float64,4578,4467,0.9758,63,97.0 | 280000.0 | 460000.0 | 239000.0 | 170000.0,97.0,12000000.0
period_cuota_3,float64,4578,4467,0.9758,12,8.0 | 4.0 | 3.0 | 9.0 | 10.0,1.0,99.0
meses_plazo_3,float64,4578,4357,0.9517,30,97.0 | 54.0 | 24.0 | 82.0 | 14.0,1.0,997.0
vr_saldo_3,float64,4578,4357,0.9517,87,22500000.0 | 9000000.0 | 5733000.0 | 12000000.0 | 2246913.0,98.0,47000000.0
tipo_deuda_4,float64,4578,4501,0.9832,3,1.0 | 2.0 | 3.0,1.0,3.0
aquien_deben_4,float64,4578,4536,0.9908,5,1.0 | 6.0 | 5.0 | 7.0 | 4.0,1.0,7.0
aquien_cual_4,object,4578,4561,0.9963,15,IMPUESTO DE RENTA | FAMILIAR | IMPUESTO PREDIAL | GOTA A GOTA | AMIGOS,,
con_quien_4,float64,4578,4543,0.9924,5,1.0 | 6.0 | 3.0 | 7.0 | 13.0,1.0,13.0
conquien_cual_4,object,4578,4577,0.9998,1,HOSPITAL DE IBAGUE,,
destino1_4,float64,4578,4543,0.9924,11,11.0 | 3.0 | 20.0 | 19.0 | 1.0,1.0,21.0
destino2_4,float64,4578,4576,0.9996,2,20.0 | 2.0,2.0,20.0
destino3_4,float64,4578,4578,1.0,0,,,
destino4_4,float64,4578,4578,1.0,0,,,
fechai_mes_4,float64,4578,4543,0.9924,10,1.0 | 12.0 | 10.0 | 2.0 | 5.0,1.0,12.0
fechai_ano_4,float64,4578,4543,0.9924,5,2010.0 | 2008.0 | 2009.0 | 2006.0 | 2004.0,2004.0,2010.0
vr_inicial_4,float64,4578,4543,0.9924,24,6000000.0 | 7000000.0 | 4000000.0 | 400000.0 | 650000.0,30000.0,18000000.0
tasa_interes_4,float64,4578,4543,0.9924,13,2.3 | 17.0 | 1.0 | 0.0 | 2.5,0.0,99.0
tasa_period_4,float64,4578,4543,0.9924,6,6.0 | 8.0 | 4.0 | 9.0 | 5.0,4.0,9.0
cuota_4,float64,4578,4543,0.9924,26,271000.0 | 236000.0 | 450000.0 | 400000.0 | 60000.0,98.0,6000000.0
period_cuota_4,float64,4578,4543,0.9924,5,4.0 | 7.0 | 9.0 | 2.0 | 8.0,2.0,9.0
meses_plazo_4,float64,4578,4501,0.9832,18,34.0 | 44.0 | 24.0 | 45.0 | 97.0,1.0,998.0
vr_saldo_4,float64,4578,4501,0.9832,46,550000.0 | 10384000.0 | 2000000.0 | 1300000.0 | 400000.0,98.0,18000000.0
tipo_deuda_5,float64,4578,4555,0.995,3,1.0 | 3.0 | 2.0,1.0,3.0
aquien_deben_5,float64,4578,4566,0.9974,4,6.0 | 1.0 | 7.0 | 5.0,1.0,7.0
aquien_cual_5,object,4578,4573,0.9989,5,IMPUESTO DE IMPUESTO | AMIGOS | MARIA JANETH MEJIA | JOSE ARTURO HERNANDEZ | SR ORLANDO,,
con_quien_5,float64,4578,4567,0.9976,5,8.0 | 3.0 | 7.0 | 6.0 | 1.0,1.0,8.0
destino1_5,float64,4578,4567,0.9976,6,1.0 | 19.0 | 21.0 | 20.0 | 2.0,1.0,21.0
destino2_5,float64,4578,4578,1.0,0,,,
destino3_5,float64,4578,4578,1.0,0,,,
destino4_5,float64,4578,4578,1.0,0,,,
fechai_mes_5,float64,4578,4567,0.9976,6,12.0 | 11.0 | 10.0 | 8.0 | 2.0,2.0,12.0
fechai_ano_5,float64,4578,4567,0.9976,3,2009.0 | 2008.0 | 2010.0,2008.0,2010.0
vr_inicial_5,float64,4578,4567,0.9976,7,1500000.0 | 650000.0 | 160000.0 | 2000000.0 | 20000.0,20000.0,2000000.0
tasa_interes_5,float64,4578,4567,0.9976,6,4.0 | 0.0 | 5.0 | 99.0 | 3.0,0.0,99.0
tasa_period_5,float64,4578,4567,0.9976,3,4.0 | 9.0 | 5.0,4.0,9.0
cuota_5,float64,4578,4567,0.9976,9,60000.0 | 50000.0 | 75000.0 | 160000.0 | 20000.0,20000.0,1500000.0
period_cuota_5,float64,4578,4567,0.9976,3,4.0 | 9.0 | 8.0,4.0,9.0
meses_plazo_5,float64,4578,4555,0.995,10,9.0 | 12.0 | 2.0 | 98.0 | 1.0,1.0,98.0
vr_saldo_5,float64,4578,4555,0.995,18,1500000.0 | 400000.0 | 180000.0 | 460000.0 | 500000.0,20000.0,3000000.0
tipo_deuda_6,float64,4578,4569,0.998,3,1.0 | 2.0 | 3.0,1.0,3.0
aquien_deben_6,float64,4578,4573,0.9989,2,7.0 | 3.0,3.0,7.0
aquien_cual_6,object,4578,4574,0.9991,4,DIAN | PASAJES A DUE???O DE VEHICULO | LUVIAN FLOREZ | SE???ORA SOCORRO,,
con_quien_6,float64,4578,4574,0.9991,3,7.0 | 3.0 | 1.0,1.0,7.0
destino1_6,float64,4578,4574,0.9991,3,20.0 | 14.0 | 15.0,14.0,20.0
destino2_6,float64,4578,4577,0.9998,1,2.0,2.0,2.0
destino3_6,float64,4578,4578,1.0,0,,,
destino4_6,float64,4578,4578,1.0,0,,,
fechai_mes_6,float64,4578,4574,0.9991,4,1.0 | 5.0 | 10.0 | 9.0,1.0,10.0
fechai_ano_6,float64,4578,4574,0.9991,2,2010.0 | 2009.0,2009.0,2010.0
vr_inicial_6,float64,4578,4574,0.9991,4,800000.0 | 2000000.0 | 1400000.0 | 5500000.0,800000.0,5500000.0
tasa_interes_6,float64,4578,4574,0.9991,3,3.0 | 98.0 | 2.0,2.0,98.0
tasa_period_6,float64,4578,4574,0.9991,2,4.0 | 5.0,4.0,5.0
cuota_6,float64,4578,4574,0.9991,4,100000.0 | 60000.0 | 108000.0 | 874000.0,60000.0,874000.0
period_cuota_6,float64,4578,4574,0.9991,2,4.0 | 7.0,4.0,7.0
meses_plazo_6,float64,4578,4569,0.998,8,8.0 | 12.0 | 24.0 | 14.0 | 60.0,1.0,60.0
vr_saldo_6,float64,4578,4569,0.998,8,800000.0 | 1000000.0 | 2000000.0 | 752000.0 | 4626000.0,20000.0,4626000.0
tipo_deuda_7,float64,4578,4576,0.9996,2,1.0 | 3.0,1.0,3.0
aquien_deben_7,float64,4578,4577,0.9998,1,7.0,7.0,7.0
aquien_cual_7,object,4578,4577,0.9998,1,JAIME PARRA,,
con_quien_7,float64,4578,4577,0.9998,1,7.0,7.0,7.0
destino1_7,float64,4578,4577,0.9998,1,20.0,20.0,20.0
destino2_7,float64,4578,4578,1.0,0,,,
destino3_7,float64,4578,4578,1.0,0,,,
destino4_7,float64,4578,4578,1.0,0,,,
fechai_mes_7,float64,4578,4577,0.9998,1,12.0,12.0,12.0
fechai_ano_7,float64,4578,4577,0.9998,1,2009.0,2009.0,2009.0
vr_inicial_7,float64,4578,4577,0.9998,1,500000.0,500000.0,500000.0
