variable,UHogar,RHogar,UPersonas,RPersonas
t_abr,0,0,0,1
t_act_cotidiana,0,0,1,1
t_ago,0,0,0,1
t_angustia,0,0,1,1
t_busco_trab,0,0,1,0
t_bustrab_a,0,0,1,0
t_bustrab_m,0,0,1,0
t_cuartos_dormir,1,1,0,0
t_cuartos_hogar,1,1,0,0
t_cuidado_personal,0,0,1,1
t_dejo_trabajar,0,0,1,0
t_dic,0,0,0,1
t_ene,0,0,0,1
t_este_hogar,0,0,0,1
t_feb,0,0,0,1
t_hogar,1,1,0,0
t_hogares,1,1,0,0
t_jul,0,0,0,1
t_jun,0,0,0,1
t_malestar,0,0,1,1
t_mar,0,0,0,1
t_may,0,0,0,1
t_movilidad,0,0,1,1
t_nov,0,0,0,1
t_oct,0,0,0,1
t_personas,1,1,0,0
t_sep,0,0,0,1
t_tod,0,0,0,1
tam_empresa,0,0,1,0
tamano_pt,0,0,1,0
tamano_tenia,0,0,1,0
tareas,0,0,1,1
tasa_interes_1,1,1,0,0
tasa_interes_10,1,0,0,0
tasa_interes_14,1,0,0,0
tasa_interes_2,1,1,0,0
tasa_interes_3,1,1,0,0
tasa_interes_4,1,1,0,0
tasa_interes_5,1,1,0,0
tasa_interes_6,1,1,0,0
tasa_interes_7,1,1,0,0
tasa_interes_8,1,1,0,0
tasa_interes_9,1,0,0,0
tasa_period_1,1,1,0,0
tasa_period_10,1,0,0,0
tasa_period_14,1,0,0,0
tasa_period_2,1,1,0,0
tasa_period_3,1,1,0,0
tasa_period_4,1,1,0,0
tasa_period_5,1,1,0,0
tasa_period_6,1,1,0,0
tasa_period_7,1,1,0,0
tasa_period_8,1,1,0,0
tasa_period_9,1,0,0,0
tenencia_vivienda,1,1,0,0
tercil2010,1,1,0,0
terremoto,1,1,0,0
tiempo_anos,0,0,1,1
tiempo_meses,0,0,1,1
tienen_deudas,1,1,0,0
tipo_deuda_1,1,1,0,0
tipo_deuda_10,1,0,0,0
tipo_deuda_11,1,0,0,0
tipo_deuda_12,1,0,0,0
tipo_deuda_13,1,0,0,0
tipo_deuda_14,1,0,0,0
tipo_deuda_15,1,0,0,0
tipo_deuda_16,1,0,0,0
tipo_deuda_2,1,1,0,0
tipo_deuda_3,1,1,0,0
tipo_deuda_4,1,1,0,0
tipo_deuda_5,1,1,0,0
tipo_deuda_6,1,1,0,0
tipo_deuda_7,1,1,0,0
tipo_deuda_8,1,1,0,0
tipo_deuda_9,1,0,0,0
tipo_estab,0,0,1,1
tipo_vivienda,1,1,0,0
tit_baldios,0,1,0,0
trabajo_antes,0,0,1,0
trabajo_madre,0,0,1,1
trabajo_padre,0,0,1,1
trabajo_ultimo12,0,0,0,1
trabajo_ultimo12_cuantos,0,0,0,1
transporte,1,0,0,0
tratar_acci,0,0,1,1
tratar_ciru,0,0,1,1
tratar_enfe,0,0,1,1
tratar_odon,0,0,1,1
uay_agropec,1,1,0,0
uay_ahorrar,1,1,0,0
uay_comida,1,1,0,0
uay_educacion,1,1,0,0
uay_noagropec,1,1,0,0
uay_noinfo,1,0,0,0
uay_otros,1,1,0,0
uay_otros_cual,1,1,0,0
uay_salud,1,1,0,0
uay_tierras,1,1,0,0
uay_vivienda,1,1,0,0
uc_aeropuerto,1,1,0,0
uc_basureros,1,1,0,0
uc_cagno_agua,1,1,0,0
uc_fabricas,1,1,0,0
uc_linea_alta_tension,1,1,0,0
uc_planta_tratamiento,1,1,0,0
uc_plaza_mercado,1,1,0,0
uc_terminal_bus,1,1,0,0
uc_trans_hidrocarburo,1,1,0,0
uc_vias_ppales,1,0,0,0
ult_hosp_cual,0,0,1,1
ult_hosp_dias,0,0,1,1
ultima_hosp,0,0,1,1
uso_sanitario,1,1,0,0
valor_arriendo_pagado,1,1,0,0
veces_cambio_vivienda,1,1,0,0
vih_m,0,0,1,1
vih_p,0,0,1,1
vive_conyuge,0,0,1,1
vivia_con,0,0,1,1
vivido_otro5,0,0,1,1
vivido_siempre5,0,0,1,1
vr_acci,0,0,1,1
vr_ahorro,0,0,1,1
vr_alimentos_pago,0,0,1,1
vr_automoviles,1,1,0,0
vr_beca,0,0,1,1
vr_bono,0,0,1,1
vr_bonos,0,0,1,0
vr_casas,1,1,0,0
vr_ciru,0,0,1,1
vr_complem,0,0,1,1
vr_credito,0,0,1,1
vr_educ_pago,0,0,1,1
vr_empleo2,0,0,1,0
vr_enfe,0,0,1,1
vr_ganaba_in,0,0,1,0
vr_ganancia,0,0,1,0
vr_gtos_mens_alim,1,1,0,0
vr_gtos_mensuales,1,1,0,0
vr_ing_hextras,0,0,0,1
vr_ingmen_ase,0,0,1,0
vr_inicial_1,1,1,0,0
vr_inicial_10,1,0,0,0
vr_inicial_14,1,0,0,0
vr_inicial_2,1,1,0,0
vr_inicial_3,1,1,0,0
vr_inicial_4,1,1,0,0
vr_inicial_5,1,1,0,0
vr_inicial_6,1,1,0,0
vr_inicial_7,1,1,0,0
vr_inicial_8,1,1,0,0
vr_inicial_9,1,0,0,0
vr_lotes,1,1,0,0
vr_maquinaria,1,0,0,0
vr_matricula,0,0,1,1
vr_motocicletas,1,1,0,0
vr_negocio,0,0,1,0
vr_odon,0,0,1,1
vr_oficina,1,1,0,0
vr_otros_bienes,1,1,0,0
vr_pension,0,0,1,1
vr_rec_arriendos,0,0,1,0
vr_rec_dividendos,0,0,1,0
vr_rec_pension,0,0,1,1
vr_recibia_pt,0,0,1,0
vr_salario,0,0,1,1
vr_salario_acep,0,0,1,0
vr_salario_disp,0,0,1,0
vr_salario_ofr,0,0,1,0
vr_saldo_1,1,1,0,0
vr_saldo_10,1,0,0,0
vr_saldo_11,1,0,0,0
vr_saldo_12,1,0,0,0
vr_saldo_13,1,0,0,0
vr_saldo_14,1,0,0,0
vr_saldo_15,1,0,0,0
vr_saldo_16,1,0,0,0
vr_saldo_2,1,1,0,0
vr_saldo_3,1,1,0,0
vr_saldo_4,1,1,0,0
vr_saldo_5,1,1,0,0
vr_saldo_6,1,1,0,0
vr_saldo_7,1,1,0,0
vr_saldo_8,1,1,0,0
vr_saldo_9,1,0,0,0
vr_semovientes,1,0,0,0
vr_subalimentacion,0,0,1,1
vr_subfamiliar,0,0,1,1
vr_subtransporte,0,0,1,1
vr_transporte,1,0,0,0
vr_ult_hosp,0,0,1,1
vr_uniformes,0,0,1,1
vr_utiles,0,0,1,1
vr_vivienda_pago,0,0,1,1
zona,1,1,0,0
