variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
mes_inicio_ta,float64,22179,22052,0.9943,12,6.0 | 1.0 | 2.0 | 8.0 | 5.0,1.0,12.0
ano_inicio_ta,float64,22179,22052,0.9943,38,2001.0 | 1975.0 | 1998.0 | 2004.0 | 2000.0,1947.0,9999.0
horas_normal_ta,float64,22179,15761,0.7106,112,44.0 | 60.0 | 45.0 | 8.0 | 54.0,1.0,126.0
estaba_sss,float64,22179,15763,0.7107,3,1.0 | 2.0 | 9.0,1.0,9.0
estaba_fp,float64,22179,15763,0.7107,3,2.0 | 1.0 | 9.0,1.0,9.0
tamano_tenia,float64,22179,15763,0.7107,7,6.0 | 2.0 | 1.0 | 3.0 | 4.0,1.0,9.0
n_empleados_tenia,float64,22179,19001,0.8567,44,2.0 | 7.0 | 8.0 | 17.0 | 20.0,2.0,99.0
ocupacion_tenia,float64,22179,15763,0.7107,9,1.0 | 5.0 | 4.0 | 9.0 | 2.0,1.0,9.0
ocupacion_tenia_cual,object,22179,22037,0.9936,48,EMPLEADO DE EMPRESA PARTICULAR SIN CONTRATO |   | PRESTACION DE SERVICIOS | SATELITE | DESTAJO,,
cr_ganaba_in,float64,22179,15903,0.717,4,4.0 | 3.0 | 2.0 | 1.0,1.0,4.0
vr_ganaba_in,float64,22179,21079,0.9504,178,150000.0 | 600000.0 | 400000.0 | 1400000.0 | 50000.0,98.0,6000000.0
razon_retiro_in,float64,22179,15763,0.7107,16,5.0 | 1.0 | 3.0 | 12.0 | 6.0,1.0,99.0
razon_ri_cual,object,22179,22080,0.9955,95,SE FUE A PRESTAR EL SEVICIO MILITAR | LO INDEMNIZARON | POR LLAMADO AL MINISSTERIO PASTORAL | POR FALTA DE SEGURIDAD | SE CANSO DE BUSCAR TABAJO,,
anos_trabajo,float64,22179,15763,0.7107,63,8.0 | 20.0 | 25.0 | 15.0 | 24.0,0.0,99.0
empleo2_ta,float64,22179,15763,0.7107,2,1.0 | 2.0,1.0,2.0
edad_primert,float64,22179,17241,0.7774,45,16.0 | 15.0 | 10.0 | 20.0 | 12.0,0.0,52.0
ano_primert,float64,22179,22135,0.998,30,2003.0 | 2000.0 | 2001.0 | 1996.0 | 9998.0,1966.0,9998.0
anos_primert,float64,22179,17243,0.7774,42,3.0 | 5.0 | 2.0 | 0.0 | 9.0,0.0,99.0
ano_retiro_pt,float64,22179,21795,0.9827,51,2006.0 | 1998.0 | 2008.0 | 2004.0 | 2001.0,1941.0,9999.0
horas_normal_pt,float64,22179,17241,0.7774,103,12.0 | 40.0 | 44.0 | 8.0 | 4.0,2.0,144.0
ocupacion_pt,float64,22179,17241,0.7774,9,4.0 | 5.0 | 8.0 | 1.0 | 2.0,1.0,9.0
ocupacion_pt_cual,object,22179,22112,0.997,50,PRESTACION DE SERVICIOS | DESTAJO | TABAJO A PERSONAS DESCONOCIDAS Y SU PAGO FUE OSPED | CONTRATO TEMPORAL DE VACACIONES | CONTRATO VERBAL,,
recibia_pt,float64,22179,17563,0.7919,4,3.0 | 2.0 | 4.0 | 1.0,1.0,4.0
vr_recibia_pt,float64,22179,21675,0.9773,137,100.0 | 8000.0 | 90000.0 | 2000.0 | 45000.0,100.0,7000000.0
sss_pt,float64,22179,17241,0.7774,2,2.0 | 1.0,1.0,2.0
afiliado_fp_pt,float64,22179,17241,0.7774,2,2.0 | 1.0,1.0,2.0
tamano_pt,float64,22179,17241,0.7774,6,1.0 | 2.0 | 6.0 | 5.0 | 3.0,1.0,6.0
n_empleados_pt,float64,22179,19292,0.8698,36,2.0 | 5.0 | 3.0 | 4.0 | 30.0,2.0,49.0
razon_retiro_pt,float64,22179,17241,0.7774,15,13.0 | 1.0 | 9.0 | 7.0 | 3.0,1.0,15.0
razon_rpt_cual,object,22179,22095,0.9962,63,SE FUE A PRESTAR EL SERVICIO MILITAR | LA TRASLADARON DE COLEGIO | PRESTACION DE SERVICIO MILITAR | PRESTAR SERVICIO MILITAR | SE ENAMORO DE UN EMPLEADO DEL ALMACEN,,
cuando_monto,float64,22179,11235,0.5066,2,2.0 | 1.0,1.0,2.0
cuando_monto_edad,float64,22179,21874,0.9862,10,12.0 | 11.0 | 13.0 | 9.0 | 14.0,5.0,14.0
ahorra,float64,22179,13392,0.6038,3,2.0 | 1.0 | 3.0,1.0,3.0
vr_ahorro,float64,22179,20657,0.9314,68,100000.0 | 30000.0 | 200000.0 | 50000.0 | 120000.0,98.0,3000000.0
razon_noahorra,float64,22179,16457,0.742,5,1.0 | 5.0 | 2.0 | 3.0 | 4.0,1.0,5.0
razon_na_cual,float64,22179,22179,1.0,0,,,
lugar_ahorra,float64,22179,20657,0.9314,6,3.0 | 2.0 | 4.0 | 1.0 | 5.0,1.0,6.0
lugar_ahorra_cual,object,22179,22170,0.9996,9,INVIERTE PARA LA CASA EN ARREGLOS | CON UN FAMILIAR | FONDO COMUN | A UNA PERSONA DE CONFIANZA | SE LO  DA ASU PADRE PARA   CONSTRUIR LA CASA,,
razon_nsfinan,float64,22179,21123,0.9524,7,7.0 | 5.0 | 6.0 | 1.0 | 2.0,1.0,7.0
razon_nsfinan_cual,object,22179,22111,0.9969,62,MAYOR FACILIDAD PARA UN PRESTAMO EN EL FONDO DE EM | PORQUE LE DESCUENTAN POR NOMINA | NO SE GASTA TANTO EL DIENRO ESTANDO EN LA CASA | NO SE LO HA PROPUESTO | PORQUE SE LO GASTA AHI MISMO,,
ahorro_futuro,float64,22179,20657,0.9314,2,1.0 | 0.0,0.0,1.0
ahorro_educ,float64,22179,20657,0.9314,2,0.0 | 2.0,0.0,2.0
ahorro_casa,float64,22179,20657,0.9314,2,3.0 | 0.0,0.0,3.0
ahorro_carro,float64,22179,20657,0.9314,2,0.0 | 4.0,0.0,4.0
ahorro_otros_act,float64,22179,20657,0.9314,2,0.0 | 5.0,0.0,5.0
ahorro_event,float64,22179,20657,0.9314,2,0.0 | 6.0,0.0,6.0
ahorro_recre,float64,22179,20657,0.9314,2,0.0 | 7.0,0.0,7.0
ahorro_montar,float64,22179,20657,0.9314,2,0.0 | 8.0,0.0,8.0
ahorro_otro,float64,22179,20657,0.9314,2,0.0 | 9.0,0.0,9.0
estado_civil,float64,22179,13386,0.6035,5,3.0 | 1.0 | 4.0 | 2.0 | 5.0,1.0,5.0
vive_conyuge,float64,22179,15069,0.6794,2,1.0 | 2.0,1.0,2.0
orden_conyuge,float64,22179,15188,0.6848,9,2.0 | 1.0 | 13.0 | 4.0 | 5.0,1.0,13.0
edad_unionm,float64,22179,15074,0.6797,56,0.0 | 31.0 | 27.0 | 26.0 | 35.0,0.0,99.0
mes_unionm,float64,22179,20705,0.9335,13,3.0 | 9.0 | 12.0 | 6.0 | 4.0,1.0,99.0
ano_unionm,float64,22179,20705,0.9335,52,2009.0 | 1993.0 | 1973.0 | 2007.0 | 2002.0,1960.0,9999.0
hijos_hombres_unionm,float64,22179,15074,0.6797,10,0.0 | 1.0 | 3.0 | 2.0 | 5.0,0.0,9.0
hijos_mujeres_unionm,float64,22179,15074,0.6797,10,0.0 | 1.0 | 2.0 | 3.0 | 4.0,0.0,9.0
edad_hijo_mayor,float64,22179,16173,0.7292,53,14.0 | 0.0 | 1.0 | 24.0 | 15.0,0.0,59.0
edad_hijo_mayorm,float64,22179,21797,0.9828,12,7.0 | 3.0 | 12.0 | 1.0 | 9.0,1.0,12.0
edad_hijo_mayora,float64,22179,21797,0.9828,41,1975.0 | 2008.0 | 1985.0 | 1977.0 | 1991.0,1964.0,2010.0
otras_unionesm,float64,22179,13935,0.6283,2,1.0 | 2.0,1.0,2.0
cuantas_unionesm,float64,22179,20281,0.9144,7,1.0 | 2.0 | 4.0 | 5.0 | 3.0,1.0,7.0
org_jac,float64,22179,13392,0.6038,2,0.0 | 1.0,0.0,1.0
org_caridad,float64,22179,13392,0.6038,2,0.0 | 2.0,0.0,2.0
org_comunitaria,float64,22179,13392,0.6038,2,0.0 | 3.0,0.0,3.0
org_religiosa,float64,22179,13392,0.6038,2,0.0 | 4.0,0.0,4.0
junta_edif,float64,22179,13392,0.6038,2,0.0 | 5.0,0.0,5.0
org_iestado,float64,22179,13392,0.6038,2,0.0 | 6.0,0.0,6.0
org_etnica,float64,22179,13392,0.6038,2,0.0 | 7.0,0.0,7.0
org_culdep,float64,22179,13392,0.6038,2,0.0 | 8.0,0.0,8.0
org_educ,float64,22179,13392,0.6038,2,0.0 | 9.0,0.0,9.0
org_mamb,float64,22179,13392,0.6038,2,0.0 | 10.0,0.0,10.0
asoc_vigil,float64,22179,13392,0.6038,2,0.0 | 11.0,0.0,11.0
sindicato,float64,22179,13392,0.6038,2,0.0 | 12.0,0.0,12.0
mov_parpol,float64,22179,13392,0.6038,2,0.0 | 13.0,0.0,13.0
org_otra,float64,22179,13392,0.6038,2,0.0 | 14.0,0.0,14.0
org_otra_cual,object,22179,22106,0.9967,67,DEFENSA CIVIL | ACCION  SOCIAL | ASOCIACION DE PADRES USUARIOS DE HOGARES DEL BIENE | REUNIONES DEL BIENESTAR FAMILIAR | CONCEJO DIRECTIVO DE LA INSTITUCION,,
org_ninguna,float64,22179,13392,0.6038,2,15.0 | 0.0,0.0,15.0
cr_asisteorg1,float64,22179,20917,0.9431,2,2.0 | 1.0,1.0,2.0
cr_asisteorg2,float64,22179,21993,0.9916,2,1.0 | 2.0,1.0,2.0
cr_asisteorg3,float64,22179,22133,0.9979,2,1.0 | 2.0,1.0,2.0
cr_asisteorg4,float64,22179,22164,0.9993,2,1.0 | 2.0,1.0,2.0
cr_asisteorg5,float64,22179,22175,0.9998,1,1.0,1.0,1.0
nhoras_org1,float64,22179,21029,0.9481,53,8.0 | 6.0 | 0.0 | 1.0 | 12.0,0.0,360.0
nhoras_org2,float64,22179,22005,0.9922,24,3.0 | 8.0 | 48.0 | 20.0 | 2.0,0.0,144.0
nhoras_org3,float64,22179,22137,0.9981,12,30.0 | 0.0 | 12.0 | 2.0 | 5.0,0.0,80.0
nhoras_org4,float64,22179,22166,0.9994,6,4.0 | 2.0 | 16.0 | 6.0 | 0.0,0.0,16.0
nhoras_org5,float64,22179,22175,0.9998,3,4.0 | 5.0 | 6.0,4.0,6.0
ptd_org1,float64,22179,21029,0.9481,2,1.0 | 2.0,1.0,2.0
ptd_org2,float64,22179,22005,0.9922,2,1.0 | 2.0,1.0,2.0
ptd_org3,float64,22179,22137,0.9981,2,2.0 | 1.0,1.0,2.0
ptd_org4,float64,22179,22166,0.9994,2,1.0 | 2.0,1.0,2.0
ptd_org5,float64,22179,22175,0.9998,1,1.0,1.0,1.0
crlider_org1,float64,22179,21029,0.9481,2,1.0 | 2.0,1.0,2.0
crlider_org2,float64,22179,22005,0.9922,2,1.0 | 2.0,1.0,2.0
crlider_org3,float64,22179,22137,0.9981,2,1.0 | 2.0,1.0,2.0
crlider_org4,float64,22179,22166,0.9994,2,2.0 | 1.0,1.0,2.0
