columna,patron_ola1_ola2_ola3,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
cr_actv_ta2,011,0.0,0.189,0.18,EXCLUIDA_NO_EN_OLA1
cr_actv_ta3,011,0.0,0.161,0.145,EXCLUIDA_NO_EN_OLA1
cr_actv_ta4,011,0.0,0.098,0.083,EXCLUIDA_NO_EN_OLA1
cr_actv_ta5,011,0.0,0.044,0.035,EXCLUIDA_NO_EN_OLA1
cr_actv_ta6,011,0.0,0.014,0.012,EXCLUIDA_NO_EN_OLA1
crear_negocio,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
cred_cual,011,0.0,0.654,0.574,EXCLUIDA_NO_EN_OLA1
crees_vivir,010,0.0,0.084,0.0,EXCLUIDA_NO_EN_OLA1
curso_otro_cual,011,0.0,0.574,0.755,EXCLUIDA_NO_EN_OLA1
dejo_estudiar,011,0.0,0.188,0.182,EXCLUIDA_NO_EN_OLA1
descrip_activ1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
descrip_activ2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
descrip_oficio1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
descrip_oficio2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
descrip_rama_cual,011,0.0,0.202,0.206,EXCLUIDA_NO_EN_OLA1
desemp_ult3,011,0.0,0.199,0.094,EXCLUIDA_NO_EN_OLA1
desigualdad,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
diabetes,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
diria_que_eleccion,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
diria_que_partido,011,0.0,0.206,0.217,EXCLUIDA_NO_EN_OLA1
edad_asma,011,0.0,0.011,0.012,EXCLUIDA_NO_EN_OLA1
edad_bachiller,011,0.0,0.083,0.117,EXCLUIDA_NO_EN_OLA1
edad_bebe,011,0.0,0.037,0.048,EXCLUIDA_NO_EN_OLA1
edad_carro,011,0.0,0.069,0.101,EXCLUIDA_NO_EN_OLA1
edad_casa,011,0.0,0.079,0.113,EXCLUIDA_NO_EN_OLA1
edad_casar,011,0.0,0.066,0.092,EXCLUIDA_NO_EN_OLA1
edad_corazon,011,0.0,0.021,0.02,EXCLUIDA_NO_EN_OLA1
edad_diabetes,011,0.0,0.021,0.025,EXCLUIDA_NO_EN_OLA1
edad_est_carrera,011,0.0,0.079,0.112,EXCLUIDA_NO_EN_OLA1
edad_fuma,011,0.0,0.169,0.163,EXCLUIDA_NO_EN_OLA1
edad_hijo,011,0.0,0.068,0.097,EXCLUIDA_NO_EN_OLA1
edad_hipertenso,011,0.0,0.066,0.074,EXCLUIDA_NO_EN_OLA1
edad_irte,011,0.0,0.053,0.083,EXCLUIDA_NO_EN_OLA1
edad_negocio,011,0.0,0.063,0.094,EXCLUIDA_NO_EN_OLA1
edad_term_carrera,011,0.0,0.078,0.111,EXCLUIDA_NO_EN_OLA1
edad_thijo,011,0.0,0.038,0.046,EXCLUIDA_NO_EN_OLA1
edad_trabajo,011,0.0,0.081,0.114,EXCLUIDA_NO_EN_OLA1
edad_ulcera,011,0.0,0.039,0.033,EXCLUIDA_NO_EN_OLA1
egrupo_org,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
ehace_deporte,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
ejugar_flia,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
ejugar_video,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
elee,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
embarazada,011,0.0,0.301,0.296,EXCLUIDA_NO_EN_OLA1
embarazo_hoy,011,0.0,0.21,0.249,EXCLUIDA_NO_EN_OLA1
enf_corazon,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
enfisema,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
eoficio_casa,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
epilepsia,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
estan_condiciones,011,0.0,0.257,0.26,EXCLUIDA_NO_EN_OLA1
estudiaba_2010,010,0.0,0.308,0.0,EXCLUIDA_NO_EN_OLA1
estudiar_carrera,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
etareas,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
etiempo_padres,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
eusa_computador,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
ev_emba,011,0.0,0.333,0.169,EXCLUIDA_NO_EN_OLA1
eve_television,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
evita_iva,010,0.0,0.14,0.0,EXCLUIDA_NO_EN_OLA1
evita_lugares,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
fexpers_2010,011,0.0,0.846,0.795,EXCLUIDA_NO_EN_OLA1
fexpers_2013,010,0.0,1.0,0.0,EXCLUIDA_NO_EN_OLA1
fgrupo_org,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
fhace_deporte,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
finan_educ_pago1,011,0.0,0.047,0.043,EXCLUIDA_NO_EN_OLA1
fjugar_flia,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
fjugar_video,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
flee,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
foficio_casa,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
fpers_2010,011,0.0,0.846,0.795,EXCLUIDA_NO_EN_OLA1
fpers_2013,010,0.0,1.0,0.0,EXCLUIDA_NO_EN_OLA1
fritos_freq,011,0.0,0.337,0.309,EXCLUIDA_NO_EN_OLA1
ftareas,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
ftiempo_padres,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
fuente_amigos,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
fuente_diarios,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
fuente_internet,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
fuente_libros,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
fuente_radio,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
fuente_revistas,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
fuente_tv,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
fuma_amigos,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
fuma_hogar,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
fuma_paquete,011,0.0,0.169,0.163,EXCLUIDA_NO_EN_OLA1
fuma_period,011,0.0,0.045,0.038,EXCLUIDA_NO_EN_OLA1
fuma_ult30d,010,0.0,0.045,0.005,EXCLUIDA_NO_EN_OLA1
fumo_ultimavez,011,0.0,0.124,0.125,EXCLUIDA_NO_EN_OLA1
fusa_computador,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
fve_television,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
gob_bienestar,011,0.0,0.219,0.105,EXCLUIDA_NO_EN_OLA1
grado_educ_2010,010,0.0,0.293,0.0,EXCLUIDA_NO_EN_OLA1
ha_bebido,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
ha_fumado,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
hace_la_paga,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
hijas_mujeres,011,0.0,0.163,0.171,EXCLUIDA_NO_EN_OLA1
hijo_enhogar,011,0.0,0.163,0.171,EXCLUIDA_NO_EN_OLA1
hijos_hombres,011,0.0,0.163,0.171,EXCLUIDA_NO_EN_OLA1
hijos_vivos,011,0.0,0.207,0.26,EXCLUIDA_NO_EN_OLA1
hipertenso,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
hizo_preescolar,011,0.0,0.162,0.177,EXCLUIDA_NO_EN_OLA1
hor_actv_ma1,011,0.0,0.192,0.185,EXCLUIDA_NO_EN_OLA1
hor_actv_ma2,011,0.0,0.19,0.181,EXCLUIDA_NO_EN_OLA1
hor_actv_ma3,011,0.0,0.163,0.147,EXCLUIDA_NO_EN_OLA1
hor_actv_ma4,011,0.0,0.107,0.089,EXCLUIDA_NO_EN_OLA1
hor_actv_ma5,011,0.0,0.051,0.04,EXCLUIDA_NO_EN_OLA1
hor_actv_ma6,011,0.0,0.019,0.016,EXCLUIDA_NO_EN_OLA1
hor_actv_no1,011,0.0,0.192,0.185,EXCLUIDA_NO_EN_OLA1
hor_actv_no2,011,0.0,0.155,0.139,EXCLUIDA_NO_EN_OLA1
hor_actv_no3,011,0.0,0.067,0.049,EXCLUIDA_NO_EN_OLA1
hor_actv_no4,010,0.0,0.015,0.009,EXCLUIDA_NO_EN_OLA1
hor_actv_ta1,011,0.0,0.192,0.185,EXCLUIDA_NO_EN_OLA1
hor_actv_ta2,011,0.0,0.189,0.18,EXCLUIDA_NO_EN_OLA1
hor_actv_ta3,011,0.0,0.161,0.145,EXCLUIDA_NO_EN_OLA1
hor_actv_ta4,011,0.0,0.098,0.083,EXCLUIDA_NO_EN_OLA1
hor_actv_ta5,011,0.0,0.044,0.035,EXCLUIDA_NO_EN_OLA1
hor_actv_ta6,011,0.0,0.014,0.012,EXCLUIDA_NO_EN_OLA1
horas_dia1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
horas_dia2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
horas_normal1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
horas_normal2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
hoy_fuma,011,0.0,0.169,0.163,EXCLUIDA_NO_EN_OLA1
ind_bienestar,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
inform_orden,011,0.0,0.568,0.564,EXCLUIDA_NO_EN_OLA1
irte_casa,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
jornada_esc,011,0.0,0.312,0.29,EXCLUIDA_NO_EN_OLA1
jornalero,011,0.0,0.19,0.183,EXCLUIDA_NO_EN_OLA1
jov_org_ambiental,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
jov_org_comunid,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
jov_org_cultural,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
jov_org_depor,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
jov_org_dhumanos,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
jov_org_etnica,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
jov_org_parpol,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
jov_org_religiosa,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
jov_org_social,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
justicia_propia,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
lider_educ,010,0.0,0.015,0.008,EXCLUIDA_NO_EN_OLA1
lider_jac,011,0.0,0.045,0.036,EXCLUIDA_NO_EN_OLA1
lider_religiosa,011,0.0,0.032,0.019,EXCLUIDA_NO_EN_OLA1
lugar_ahorra_cual,011,0.0,0.394,0.391,EXCLUIDA_NO_EN_OLA1
lugar_oficio1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
lugar_oficio2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
me_la_paga,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
medid1_ahorrar,010,0.0,0.079,0.0,EXCLUIDA_NO_EN_OLA1
medid1_votar,010,0.0,0.074,0.0,EXCLUIDA_NO_EN_OLA1
medid2_ahorrar,010,0.0,0.07,0.0,EXCLUIDA_NO_EN_OLA1
medid2_votar,010,0.0,0.066,0.0,EXCLUIDA_NO_EN_OLA1
medio_bus_trabajo,010,0.0,0.013,0.01,EXCLUIDA_NO_EN_OLA1
medio_busco_cual,011,0.0,0.202,0.206,EXCLUIDA_NO_EN_OLA1
medio_cons_cual,011,0.001,0.202,0.206,EXCLUIDA_NO_EN_OLA1
medio_trabajo_cual,011,0.0,0.192,0.185,EXCLUIDA_NO_EN_OLA1
mes_desde_1,011,0.0,0.039,0.022,EXCLUIDA_NO_EN_OLA1
mes_hasta_1,011,0.0,0.039,0.022,EXCLUIDA_NO_EN_OLA1
meses_ganancia1,011,0.0,0.061,0.062,EXCLUIDA_NO_EN_OLA1
meses_ganancia2,011,0.0,0.012,0.011,EXCLUIDA_NO_EN_OLA1
miedo_ir_colegio,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
migra_ult3,011,0.0,0.655,0.574,EXCLUIDA_NO_EN_OLA1
migra_veces,010,0.0,0.028,0.002,EXCLUIDA_NO_EN_OLA1
min_actv_ma1,011,0.0,0.192,0.185,EXCLUIDA_NO_EN_OLA1
min_actv_ma2,011,0.0,0.19,0.181,EXCLUIDA_NO_EN_OLA1
min_actv_ma3,011,0.0,0.163,0.147,EXCLUIDA_NO_EN_OLA1
min_actv_ma4,011,0.0,0.107,0.089,EXCLUIDA_NO_EN_OLA1
min_actv_ma5,011,0.0,0.05,0.04,EXCLUIDA_NO_EN_OLA1
min_actv_ma6,011,0.0,0.018,0.016,EXCLUIDA_NO_EN_OLA1
min_actv_no1,011,0.0,0.192,0.185,EXCLUIDA_NO_EN_OLA1
min_actv_no2,011,0.0,0.155,0.139,EXCLUIDA_NO_EN_OLA1
min_actv_no3,011,0.0,0.067,0.049,EXCLUIDA_NO_EN_OLA1
min_actv_no4,010,0.0,0.015,0.009,EXCLUIDA_NO_EN_OLA1
min_actv_ta1,011,0.0,0.192,0.185,EXCLUIDA_NO_EN_OLA1
min_actv_ta2,011,0.0,0.189,0.18,EXCLUIDA_NO_EN_OLA1
min_actv_ta3,011,0.0,0.161,0.145,EXCLUIDA_NO_EN_OLA1
min_actv_ta4,011,0.0,0.098,0.083,EXCLUIDA_NO_EN_OLA1
min_actv_ta5,011,0.0,0.044,0.035,EXCLUIDA_NO_EN_OLA1
min_actv_ta6,011,0.0,0.014,0.012,EXCLUIDA_NO_EN_OLA1
misma_persona,011,0.0,0.118,0.115,EXCLUIDA_NO_EN_OLA1
mod_t_dia,011,0.0,0.021,0.024,EXCLUIDA_NO_EN_OLA1
moderada,011,0.0,0.203,0.206,EXCLUIDA_NO_EN_OLA1
moderada_dias,011,0.0,0.022,0.024,EXCLUIDA_NO_EN_OLA1
moderada_tiempo,011,0.0,0.022,0.024,EXCLUIDA_NO_EN_OLA1
motivo_mig_1,011,0.0,0.039,0.022,EXCLUIDA_NO_EN_OLA1
mpio_migra_1,011,0.0,0.039,0.012,EXCLUIDA_NO_EN_OLA1
nivel_educ_2010,010,0.0,0.308,0.0,EXCLUIDA_NO_EN_OLA1
no_afiliado,011,0.0,0.372,0.378,EXCLUIDA_NO_EN_OLA1
nocotiza_ult3,011,0.0,0.199,0.166,EXCLUIDA_NO_EN_OLA1
noestudia_cual,011,0.005,0.961,0.954,EXCLUIDA_NO_EN_OLA1
noprof_problema,011,0.0,0.054,0.046,EXCLUIDA_NO_EN_OLA1
noprof_serv_cual,011,0.0,0.654,0.574,EXCLUIDA_NO_EN_OLA1
noson_hogar1,011,0.0,0.03,0.027,EXCLUIDA_NO_EN_OLA1
noson_hogar_cual1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
noson_hogar_cual2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
novedad_perso,011,0.0,1.0,1.0,EXCLUIDA_NO_EN_OLA1
ocupacion1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
ocupacion_cual,011,0.008,0.769,0.252,EXCLUIDA_NO_EN_OLA1
ocupacion_cual1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
ocupacion_cual2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
org_agremia,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
org_otra_cual,011,0.004,0.393,0.391,EXCLUIDA_NO_EN_OLA1
org_sindicato,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
otro_mig_cual_1,011,0.0,0.039,0.022,EXCLUIDA_NO_EN_OLA1
paga_soborno,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
pagos_adicion,011,0.0,0.027,0.024,EXCLUIDA_NO_EN_OLA1
pagos_adicion1,011,0.0,0.016,0.014,EXCLUIDA_NO_EN_OLA1
pais_1,011,0.0,0.039,0.014,EXCLUIDA_NO_EN_OLA1
pandillas,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
paquete_freq,011,0.0,0.118,0.095,EXCLUIDA_NO_EN_OLA1
parent_inform,011,0.0,0.568,0.184,EXCLUIDA_NO_EN_OLA1
participa,011,0.0,0.231,0.242,EXCLUIDA_NO_EN_OLA1
pcuida_edad,011,0.0,0.011,0.011,EXCLUIDA_NO_EN_OLA1
pcuida_horas,011,0.0,0.189,0.184,EXCLUIDA_NO_EN_OLA1
pcuida_niveledu,011,0.0,0.011,0.011,EXCLUIDA_NO_EN_OLA1
peleas_companeros,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
persona_cuida,011,0.0,0.011,0.011,EXCLUIDA_NO_EN_OLA1
pertenece_pandilla,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
planeo_embarazo,011,0.0,0.167,0.176,EXCLUIDA_NO_EN_OLA1
pobinactiva_cual,011,0.0,0.308,0.38,EXCLUIDA_NO_EN_OLA1
por_las_malas,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
prestamo_vecino,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
prev_otro,011,0.0,0.655,0.574,EXCLUIDA_NO_EN_OLA1
prima_navidad,011,0.0,0.144,0.148,EXCLUIDA_NO_EN_OLA1
probado_cigarro,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
quien_cuida,011,0.0,0.013,0.012,EXCLUIDA_NO_EN_OLA1
quisiera_vivir,010,0.0,0.084,0.0,EXCLUIDA_NO_EN_OLA1
razon_db_cual,011,0.001,0.202,0.206,EXCLUIDA_NO_EN_OLA1
razon_dt_cual,011,0.001,0.202,0.206,EXCLUIDA_NO_EN_OLA1
razon_negocio1,011,0.0,0.038,0.037,EXCLUIDA_NO_EN_OLA1
razon_noacepto_cual,011,0.001,0.202,0.206,EXCLUIDA_NO_EN_OLA1
razon_nsfinan_cual,011,0.002,0.394,0.185,EXCLUIDA_NO_EN_OLA1
razon_tn_cual,011,0.003,0.202,0.206,EXCLUIDA_NO_EN_OLA1
rec_alimentos_pago1,011,0.0,0.047,0.043,EXCLUIDA_NO_EN_OLA1
rec_ninguno,011,0.0,0.075,0.077,EXCLUIDA_NO_EN_OLA1
rec_ninguno1,011,0.0,0.047,0.043,EXCLUIDA_NO_EN_OLA1
rec_otros_pago1,011,0.0,0.047,0.043,EXCLUIDA_NO_EN_OLA1
rec_vivienda_pago1,011,0.0,0.047,0.043,EXCLUIDA_NO_EN_OLA1
resolvio_alcalde,011,0.0,0.05,0.046,EXCLUIDA_NO_EN_OLA1
resolvio_congres,011,0.0,0.017,0.015,EXCLUIDA_NO_EN_OLA1
resolvio_lcomunal,011,0.0,0.025,0.023,EXCLUIDA_NO_EN_OLA1
riesgos_org,011,0.0,0.064,0.052,EXCLUIDA_NO_EN_OLA1
rzn_bus_trabajo,010,0.0,0.013,0.01,EXCLUIDA_NO_EN_OLA1
rzn_dejoest_cual,011,0.0,0.26,0.184,EXCLUIDA_NO_EN_OLA1
rzn_negocio_cual1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
rzn_negocio_cual2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
rzn_nocotiza,011,0.0,0.329,0.321,EXCLUIDA_NO_EN_OLA1
rzn_nosist_finan,011,0.0,0.048,0.057,EXCLUIDA_NO_EN_OLA1
rzn_trabajo_cual,011,0.0,0.192,0.185,EXCLUIDA_NO_EN_OLA1
saben_amigos,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
saben_colegio,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
saben_destas,011,0.0,0.085,0.118,EXCLUIDA_NO_EN_OLA1
seg_medico,011,0.0,0.144,0.148,EXCLUIDA_NO_EN_OLA1
segsoc_salud,011,0.0,0.144,0.148,EXCLUIDA_NO_EN_OLA1
segsoc_salud1,011,0.0,0.011,0.013,EXCLUIDA_NO_EN_OLA1
sida,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
siempre_ayuda,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
simpat_pol_cual,011,0.0,0.231,0.242,EXCLUIDA_NO_EN_OLA1
simpatiza,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
simpatiza_parpol,011,0.0,0.034,0.043,EXCLUIDA_NO_EN_OLA1
t_noafiliado,011,0.0,0.04,0.02,EXCLUIDA_NO_EN_OLA1
t_trabajo_ult,011,0.0,0.058,0.057,EXCLUIDA_NO_EN_OLA1
tendencia_pol,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
tener_hijo,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
termin_bachiller,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
terminar_carrera,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
tiempo_desemp,011,0.0,0.05,0.035,EXCLUIDA_NO_EN_OLA1
tiempo_ncotiza,011,0.0,0.041,0.033,EXCLUIDA_NO_EN_OLA1
tiempo_trab,011,0.0,0.045,0.058,EXCLUIDA_NO_EN_OLA1
tiene_contrato1,011,0.0,0.125,0.112,EXCLUIDA_NO_EN_OLA1
tiene_contrato2,011,0.0,0.021,0.016,EXCLUIDA_NO_EN_OLA1
tiene_cuenta,011,0.0,0.38,0.39,EXCLUIDA_NO_EN_OLA1
tipo_contrato,011,0.0,0.144,0.148,EXCLUIDA_NO_EN_OLA1
tipo_contrato1,011,0.0,0.011,0.013,EXCLUIDA_NO_EN_OLA1
tot_trabajos,011,0.0,0.127,0.119,EXCLUIDA_NO_EN_OLA1
total_fuma,011,0.0,0.045,0.038,EXCLUIDA_NO_EN_OLA1
trabajo_estable,011,0.0,0.084,0.118,EXCLUIDA_NO_EN_OLA1
trabajo_ult3,011,0.0,0.061,0.063,EXCLUIDA_NO_EN_OLA1
tratar_problema,011,0.0,0.178,0.15,EXCLUIDA_NO_EN_OLA1
trombosis,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
tuberculosis,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
ulcera,011,0.0,0.395,0.391,EXCLUIDA_NO_EN_OLA1
ult_hosp_cual,011,0.001,0.128,0.574,EXCLUIDA_NO_EN_OLA1
uso_violencia,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
vacaciones,011,0.0,0.144,0.148,EXCLUIDA_NO_EN_OLA1
vacaciones1,011,0.0,0.011,0.013,EXCLUIDA_NO_EN_OLA1
vig_t_dia,011,0.0,0.015,0.016,EXCLUIDA_NO_EN_OLA1
vigorosa,011,0.0,0.203,0.206,EXCLUIDA_NO_EN_OLA1
vigorosa_dias,011,0.0,0.016,0.017,EXCLUIDA_NO_EN_OLA1
vigorosa_tiempo,011,0.0,0.016,0.017,EXCLUIDA_NO_EN_OLA1
violar_ley,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
voto_alcaldia,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
voto_candidato,011,0.0,0.163,0.178,EXCLUIDA_NO_EN_OLA1
voto_enmpio,011,0.0,0.167,0.183,EXCLUIDA_NO_EN_OLA1
voto_ofrecido,011,0.0,0.132,0.226,EXCLUIDA_NO_EN_OLA1
voto_partido,011,0.0,0.167,0.183,EXCLUIDA_NO_EN_OLA1
voto_popular,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
voto_secreto,011,0.0,0.219,0.226,EXCLUIDA_NO_EN_OLA1
vr_aleatorio,011,0.0,0.219,0.242,EXCLUIDA_NO_EN_OLA1
vr_ganancia1,011,0.0,0.076,0.068,EXCLUIDA_NO_EN_OLA1
vr_ganancia2,011,0.0,0.017,0.012,EXCLUIDA_NO_EN_OLA1
vr_salario1,011,0.0,0.047,0.043,EXCLUIDA_NO_EN_OLA1
aceptar_trabajo,100,0.045,0.0,0.0,EXCLUIDA_NO_EN_OLA2
act_cotidiana,100,0.392,0.0,0.0,EXCLUIDA_NO_EN_OLA2
afiliado_fp_pt,100,0.114,0.0,0.0,EXCLUIDA_NO_EN_OLA2
ahorro_event,100,0.053,0.0,0.0,EXCLUIDA_NO_EN_OLA2
angustia,100,0.392,0.0,0.0,EXCLUIDA_NO_EN_OLA2
ano_duro,100,0.149,0.0,0.0,EXCLUIDA_NO_EN_OLA2
ano_inicio,101,0.054,0.008,0.014,EXCLUIDA_NO_EN_OLA2
ano_nac_m,100,0.504,0.0,0.0,EXCLUIDA_NO_EN_OLA2
ano_nac_p,100,0.661,0.0,0.0,EXCLUIDA_NO_EN_OLA2
ano_retiro,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
anos_primert,100,0.114,0.0,0.0,EXCLUIDA_NO_EN_OLA2
anos_retiro,100,0.025,0.0,0.0,EXCLUIDA_NO_EN_OLA2
anos_trabajo,100,0.149,0.0,0.0,EXCLUIDA_NO_EN_OLA2
artritis_m,100,0.235,0.0,0.0,EXCLUIDA_NO_EN_OLA2
artritis_p,100,0.204,0.0,0.0,EXCLUIDA_NO_EN_OLA2
asma_m,100,0.235,0.0,0.0,EXCLUIDA_NO_EN_OLA2
asma_p,100,0.204,0.0,0.0,EXCLUIDA_NO_EN_OLA2
beca_periodicidad,100,0.019,0.0,0.0,EXCLUIDA_NO_EN_OLA2
beneficiario_1,100,0.014,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bronquitis_m,100,0.235,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bronquitis_p,100,0.204,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh,100,0.183,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh1,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh10,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh11,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh12,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh2,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh3,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh4,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh5,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh6,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh7,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh8,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
bustrab_fh9,100,0.017,0.0,0.0,EXCLUIDA_NO_EN_OLA2
cabecera_nac,100,0.199,0.0,0.0,EXCLUIDA_NO_EN_OLA2
