columna,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
vop2,0.4550787990337053,0.3476502311248074,0.0,CANDIDATO_BENCHMARK
vop3,0.4378235361785345,0.3408127889060092,0.0,CANDIDATO_BENCHMARK
vopr1,0.3483262395030484,0.2883281972265023,0.0,CANDIDATO_BENCHMARK
pentavalente1,0.4719889566317727,0.3400423728813559,0.0,CANDIDATO_BENCHMARK
pentavalente2,0.4550787990337053,0.3328197226502311,0.0,CANDIDATO_BENCHMARK
pentavalente3,0.4378235361785345,0.3265600924499229,0.0,CANDIDATO_BENCHMARK
dtf1,0.4719889566317727,0.0136748844375963,0.0,CANDIDATO_BENCHMARK
dtf2,0.4550787990337053,0.0134822804314329,0.0,CANDIDATO_BENCHMARK
dtf3,0.4378235361785345,0.0133859784283513,0.0,CANDIDATO_BENCHMARK
dtfr1,0.3482112044173472,0.0127118644067796,0.0,CANDIDATO_BENCHMARK
hepatitisrn,0.4818819740020706,0.0175269645608628,0.0,CANDIDATO_BENCHMARK
hepatitis1,0.4719889566317727,0.0144453004622496,0.0,CANDIDATO_BENCHMARK
hepatitis2,0.4550787990337053,0.0139637904468412,0.0,CANDIDATO_BENCHMARK
hepatitis3,0.4378235361785345,0.0135785824345146,0.0,CANDIDATO_BENCHMARK
triplev,0.3967560105832279,0.3666217257318952,0.0,CANDIDATO_BENCHMARK
fiebrea,0.3967560105832279,0.3414869029275809,0.0,CANDIDATO_BENCHMARK
oficios_hogar,0.5180029909122282,0.7096494607087828,1.0,CANDIDATO_BENCHMARK
lavar,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
planchar,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
cocinar,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
limpieza,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
cuidar_ninos,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
cuidar_enfermos,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
atender_huerta,0.287472679167146,0.0,0.0,EXCLUIDA_NO_EN_OLA2
traer_agua,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
recoger_lena,0.287472679167146,0.0,0.0,EXCLUIDA_NO_EN_OLA2
mandados,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
otro_oficio,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
otro_oficio_cual,0.0112734383987116,0.997977657935285,1.0,CANDIDATO_BENCHMARK
horas_oficio,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
pagaron,0.287472679167146,0.4635978428351309,0.7595670071657264,CANDIDATO_BENCHMARK
vr_pagaron,0.0064419647992637,0.0,0.0,EXCLUIDA_CASI_VACIA
trabajo,0.5180029909122282,0.3812596302003082,0.3685012959292575,CANDIDATO_BENCHMARK
trabajo_horas,0.0140342804555389,0.0109784283513097,0.0144839152309803,CANDIDATO_BENCHMARK
trabajo_conquien,0.0140342804555389,0.0109784283513097,0.0144839152309803,CANDIDATO_BENCHMARK
actividad,0.0140342804555389,0.0,0.0,EXCLUIDA_NO_EN_OLA2
cod_actividad_menor,0.0129989646842286,0.0,0.0,EXCLUIDA_NO_EN_OLA2
vr_trabajo_recibe,0.0140342804555389,0.0109784283513097,0.0144839152309803,CANDIDATO_BENCHMARK
examen_ano,0.6960773035775911,0.4977850539291217,0.9753011129745388,CANDIDATO_BENCHMARK
examen_mes,0.6960773035775911,0.4977850539291217,0.9753011129745388,CANDIDATO_BENCHMARK
examen_dia,0.6960773035775911,0.4977850539291217,0.9753011129745388,CANDIDATO_BENCHMARK
puntoinicio,0.6960773035775911,0.4975924499229584,0.9753011129745388,CANDIDATO_BENCHMARK
itemtope,0.6960773035775911,0.4975924499229584,0.4686690044214057,CANDIDATO_BENCHMARK
menoserrores,0.6960773035775911,0.4975924499229584,0.9753011129745388,CANDIDATO_BENCHMARK
