columna,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
venden_prod_agr,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
venden_prod_agr_cual,0.002531645569620253,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
pp_costos,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_abuso_int,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_precios,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_transporte,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_calsuelos,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_faltaagua,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_int_gra,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_nohay_cred,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_otro,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
pp_otro_cual,0.013924050632911392,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
bus_trab_ol,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
btol_ene,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_feb,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_mar,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_abr,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_may,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_jun,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_jul,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_ago,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_sep,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_oct,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_nov,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
btol_dic,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_agrgan,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_cultili,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_mineria,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_expmadera,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_pesca,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_comercio,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_industria,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_artesania,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_construccion,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_servicios,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
trab_gr_armados,0.23291139240506328,0.2802056555269923,0.27631578947368424,CANDIDATO_BENCHMARK
han_ido,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
n_han_ido,0.02278481012658228,0.0,0.0,EXCLUIDA_NO_EN_OLA2
pasa_tierra_ido,0.02278481012658228,0.0038560411311053984,0.0,EXCLUIDA_NO_EN_OLA2
pasa_tierra_cual,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
desplaza_forzado,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
descuido_cultivos,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
no_inversion_finca,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
no_cultivos_trad,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
cultivos_ilicitos,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
despojo_tierras,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
quitan_ganado,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
quitan_cosecha,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
obligan_cultivosi,0.08607594936708861,0.015424164524421594,0.003947368421052632,CANDIDATO_BENCHMARK
abigeato,0.2582278481012658,0.0,0.0,EXCLUIDA_NO_EN_OLA2
amenazas_gra,0.2582278481012658,0.2969151670951157,0.3078947368421053,CANDIDATO_BENCHMARK
epidemias_anim,0.0,0.2969151670951157,0.0,EXCLUIDA_NO_EN_OLA1
ley_victimas,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
prg_reinsertado,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
otra_prioritaria2_cual,0.0,0.2969151670951157,0.0,EXCLUIDA_NO_EN_OLA1
cod_conf_7,0.0,0.04113110539845758,0.04736842105263158,EXCLUIDA_NO_EN_OLA1
frecuencia_problema7,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_7,0.0,0.04113110539845758,0.04736842105263158,EXCLUIDA_NO_EN_OLA1
anos_resolver_7,0.0,0.04113110539845758,0.04736842105263158,EXCLUIDA_NO_EN_OLA1
resolvio_con_7,0.0,0.02056555269922879,0.02368421052631579,EXCLUIDA_NO_EN_OLA1
cod_conf_8,0.0,0.05012853470437018,0.056578947368421055,EXCLUIDA_NO_EN_OLA1
frecuencia_problema8,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_8,0.0,0.05012853470437018,0.056578947368421055,EXCLUIDA_NO_EN_OLA1
anos_resolver_8,0.0,0.05012853470437018,0.056578947368421055,EXCLUIDA_NO_EN_OLA1
resolvio_con_8,0.0,0.02313624678663239,0.014473684210526316,EXCLUIDA_NO_EN_OLA1
cod_conf_9,0.0,0.011568123393316195,0.02368421052631579,EXCLUIDA_NO_EN_OLA1
frecuencia_problema9,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_9,0.0,0.011568123393316195,0.02368421052631579,EXCLUIDA_NO_EN_OLA1
anos_resolver_9,0.0,0.011568123393316195,0.02368421052631579,EXCLUIDA_NO_EN_OLA1
resolvio_con_9,0.0,0.007712082262210797,0.014473684210526316,EXCLUIDA_SOLO_OLA3
cod_conf_10,0.0,0.007712082262210797,0.006578947368421052,EXCLUIDA_CASI_VACIA
frecuencia_problema10,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_10,0.0,0.007712082262210797,0.006578947368421052,EXCLUIDA_CASI_VACIA
anos_resolver_10,0.0,0.007712082262210797,0.006578947368421052,EXCLUIDA_CASI_VACIA
resolvio_con_10,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
cod_conf_11,0.0,0.015424164524421594,0.017105263157894738,EXCLUIDA_NO_EN_OLA1
frecuencia_problema11,0.0,0.2969151670951157,0.3078947368421053,EXCLUIDA_NO_EN_OLA1
n_hogares_11,0.0,0.015424164524421594,0.017105263157894738,EXCLUIDA_NO_EN_OLA1
anos_resolver_11,0.0,0.015424164524421594,0.017105263157894738,EXCLUIDA_NO_EN_OLA1
resolvio_con_11,0.0,0.011568123393316195,0.010526315789473684,EXCLUIDA_NO_EN_OLA1
